"Time [min]","Event Name","Chamber","Event Text","1A: O2 concentration [µM]","1B: O2 concentration [µM]","1A: O2 slope neg. [pmol·s-1·mL-1]","1B: O2 slope neg. [pmol·s-1·mL-1]","1: Temperature [°C]","1: Peltier power [%]"
91.1667,"","","",549.283,552.688,83.6071,93.6776,36.998,9.811
91.2000,"","","",549.159,552.494,83.6705,93.8828,36.999,9.811
91.2333,"","","",549.091,552.358,83.3735,94.061,36.999,9.811
91.2667,"","","",548.875,552.011,82.8566,94.5913,37,9.828
91.3000,"","","",548.671,551.816,82.3175,95.4697,37,9.833
91.3333,"","","",548.364,551.614,82.1118,96.1897,36.998,9.891
91.3667,"","","",548.128,551.376,82.0897,96.6617,36.998,9.899
91.4000,"","","",547.924,551.045,82.2879,96.6644,36.999,9.898
91.4333,"","","",547.744,550.666,82.6001,97.0591,36.999,9.917
91.4667,"","","",547.533,550.778,83.1419,97.3969,37,9.895
91.5000,"","","",547.432,550.726,83.5733,97.4453,37.002,9.864
91.5333,"","","",547.303,550.44,84.0195,97.2658,37.001,9.866
91.5667,"","","",547.066,550.115,84.6646,97.2394,37.001,9.843
91.6000,"","","",546.889,549.869,85.1666,97.8568,37.001,9.828
91.6333,"","","",546.753,549.666,85.6411,99.1047,37.002,9.794
91.6667,"","","",546.594,549.266,86.0989,100.579,37.002,9.779
91.7000,"","","",546.441,549.228,86.5255,101.534,37,9.791
91.7333,"","","",546.232,549.215,86.9531,101.681,36.999,9.813
91.7667,"","","",546.105,549.213,87.3041,101.169,37,9.82
91.8000,"","","",545.937,549.138,87.7792,100.633,36.999,9.855
91.8333,"","","",545.593,549.113,88.5424,99.809,37.001,9.826
91.8667,"","","",545.455,548.829,89.1299,99.1099,37,9.822
91.9000,"","","",545.28,548.661,89.6925,98.1361,36.999,9.841
91.9333,"","","",545.157,548.473,89.8346,97.2771,37,9.829
91.9667,"","","",544.952,548.245,89.7618,96.6333,37,9.827
92.0000,"","","",544.849,548.05,89.3897,96.0953,37.001,9.808
92.0333,"","","",544.717,547.968,89.2523,95.5982,37,9.796
92.0667,"","","",544.483,547.737,89.1801,94.9396,37,9.813
92.1000,"","","",544.256,547.57,89.106,94.2615,37.001,9.78
92.1333,"","","",544.239,547.348,88.8303,93.6122,37.001,9.761
92.1667,"","","",544.192,547.199,88.3841,92.8102,37,9.776
92.2000,"","","",544.032,547.182,87.9241,91.79,36.999,9.796
92.2333,"","","",543.732,546.667,87.9494,91.069,36.997,9.842
92.2667,"","","",543.527,546.198,88.0077,91.086,37,9.835
92.3000,"","","",543.309,546.137,88.0212,91.1908,37,9.83
92.3333,"","","",543.169,546.151,87.6659,91.1001,36.999,9.87
92.3667,"","","",542.941,546.015,87.3607,90.7279,36.998,9.894
92.4000,"","","",542.636,545.73,87.434,90.7232,37,9.876
92.4333,"","","",542.429,545.556,87.6981,90.5051,37.001,9.861
92.4667,"","","",542.422,545.339,87.7696,90.1364,37.001,9.837
92.5000,"","","",542.393,545.019,87.3881,90.1281,37.001,9.821
92.5333,"","","",542.253,544.852,86.856,90.0811,37.002,9.802
92.5667,"","","",541.859,544.63,86.5266,89.9826,37.002,9.772
92.6000,"","","",541.663,544.335,86.2918,90.3676,37.001,9.765
92.6333,"","","",541.642,544.349,85.8113,90.382,37.001,9.74
92.6667,"","","",541.501,544,85.5196,90.7221,37,9.776
92.7000,"","","",541.361,543.809,85.2942,91.1548,36.999,9.797
92.7333,"","","",541.214,543.626,85.0954,91.848,36.998,9.842
92.7667,"","","",541.121,543.38,84.7833,93.0257,36.999,9.836
92.8000,"","","",540.964,543.195,84.5424,93.641,36.999,9.843
92.8333,"","","",540.841,543.035,84.1044,93.9392,36.999,9.865
92.8667,"","","",540.54,542.851,83.8473,94.4007,37,9.839
92.9000,"","","",540.28,542.75,83.887,94.9615,37.002,9.808
92.9333,"","","",540.164,542.743,83.8442,95.3173,37.002,9.774
92.9667,"","","",540.022,542.613,83.6903,95.632,37.001,9.785
93.0000,"","","",539.777,542.26,83.6592,96.6997,37.002,9.735
93.0333,"","","",539.471,542.02,83.8436,97.6232,37.002,9.735
93.0667,"","","",539.165,541.71,84.335,98.4626,37.001,9.721
93.1000,"","","",538.969,541.641,84.7662,98.7279,36.999,9.758
93.1333,"","","",538.766,541.594,85.2221,98.5126,36.999,9.8
93.1667,"","","",538.698,541.43,85.7923,97.9388,36.997,9.818
93.2000,"","","",538.477,541.131,86.3842,97.7383,36.999,9.819
93.2333,"","","",538.482,540.935,86.6485,97.4957,36.999,9.844
93.2667,"","","",538.451,540.935,86.5687,96.8907,37,9.821
93.3000,"","","",538.182,540.83,86.7461,96.2081,37,9.841
93.3333,"","","",537.996,540.567,86.828,95.685,37.001,9.807
93.3667,"","","",537.798,540.246,86.8816,95.2056,37.002,9.774
93.4000,"","","",537.603,540.081,87.0932,94.7479,37.002,9.754
93.4333,"","","",537.357,539.874,87.5459,94.2735,37.003,9.704
93.4667,"","","",537.09,539.507,87.8713,94.173,37.003,9.708
93.5000,"","","",536.92,539.197,87.9288,94.1915,37.001,9.711
93.5333,"","","",536.75,539.179,87.9233,93.5249,37,9.7
93.5667,"","","",536.585,539.14,88.1127,93.1708,37.001,9.677
93.6000,"","","",536.411,539.109,88.3446,93.067,37,9.695
93.6333,"","","",536.122,538.848,88.8575,92.8946,36.999,9.709
93.6667,"","","",536.019,538.542,89.1514,92.5718,36.998,9.739
93.7000,"","","",535.811,538.318,89.5945,92.2045,36.999,9.746
93.7333,"","","",535.636,538.111,90.276,92.0426,36.998,9.797
93.7667,"","","",535.461,537.97,91.0196,91.7595,36.999,9.801
93.8000,"","","",535.306,537.899,91.4056,91.312,37,9.806
93.8333,"","","",535.104,537.725,91.5498,91.0992,37,9.81
93.8667,"","","",535.017,537.402,91.4388,91.1148,37.001,9.792
93.9000,"","","",535.059,537.134,91.3302,91.3472,36.999,9.821
93.9333,"","","",534.97,536.947,91.1223,91.7874,37,9.837
93.9667,"","","",534.697,536.84,90.826,91.7037,37.001,9.81
94.0000,"","","",534.523,536.693,90.4669,91.8548,37.003,9.759
94.0333,"","","",534.449,536.482,89.859,92.0745,37.001,9.77
94.0667,"","","",534.366,536.166,89.0378,92.5363,37.002,9.731
94.1000,"","","",534.252,535.811,87.9621,93.4216,37,9.732
94.1333,"","","",534.134,535.678,86.7598,94.1932,37,9.737
94.1667,"","","",533.935,535.621,85.5172,94.6738,37,9.726
94.2000,"","","",533.546,535.508,84.9166,95.0186,36.999,9.765
94.2333,"","","",533.375,535.25,84.4713,95.3426,36.999,9.772
94.2667,"","","",533.174,535.019,83.9705,95.3974,36.999,9.792
94.3000,"","","",532.957,534.902,83.4848,95.1912,37,9.786
94.3333,"","","",532.754,534.742,83.1768,95.2322,37.002,9.727
94.3667,"","","",532.541,534.371,83.1897,95.7101,37.003,9.72
94.4000,"","","",532.35,534.174,83.4903,96.4274,37.002,9.719
94.4333,"","","",532.086,534.061,84.0123,96.7753,37,9.722
94.4667,"","","",531.96,533.96,84.5099,96.6878,37,9.708
94.5000,"","","",531.733,533.833,84.9128,96.4322,37.001,9.691
94.5333,"","","",531.466,533.578,85.5769,96.5069,37,9.685
94.5667,"","","",531.328,533.351,85.8247,96.6644,37,9.675
94.6000,"","","",531.215,533.171,85.6694,96.4397,36.999,9.699
94.6333,"","","",531.157,532.921,85.4568,96.1454,36.999,9.714
94.6667,"","","",530.929,532.735,85.3613,95.9551,36.999,9.72
94.7000,"","","",530.716,532.512,85.3742,96.0539,36.998,9.775
94.7333,"","","",530.503,532.36,85.4862,96.0237,36.997,9.803
94.7667,"","","",530.35,532.052,85.685,96.2319,36.998,9.8
94.8000,"","","",530.184,531.918,86.0425,96.655,36.997,9.829
94.8333,"","","",529.927,531.971,86.5514,96.866,36.997,9.879
94.8667,"","","",529.747,531.779,87.0605,96.7863,36.997,9.865
94.9000,"","","",529.588,531.541,87.519,96.5216,36.998,9.896
94.9333,"","","",529.44,531.145,87.9263,96.3275,36.998,9.893
94.9667,"","","",529.345,531.031,88.412,96.0986,37,9.877
95.0000,"","","",529.159,530.74,88.7975,96.2575,37.001,9.865
95.0333,"","","",528.916,530.48,89.3841,96.5888,37.001,9.843
95.0667,"","","",528.774,530.235,89.9217,97.0333,37.002,9.792
95.1000,"","","",528.659,530.151,90.3617,97.1628,37.002,9.794
95.1333,"","","",528.413,530.047,90.9119,96.8851,37.002,9.779
95.1667,"","","",528.181,529.886,91.6292,96.4993,37.002,9.746
95.2000,"","","",528.11,529.647,91.993,96.4369,37.001,9.749
95.2333,"","","",527.981,529.389,91.865,96.6348,37,9.754
95.2667,"CK+PCR+ATP","Both","",528.129,529.227,90.9726,96.7629,36.999,9.781
95.3000,"","","",526.985,529.132,92.0559,96.5448,36.998,9.803
95.3333,"","","",525.683,526.461,95.1325,100.774,36.998,9.843
95.3667,"","","",524.358,525.009,99.946,107.104,36.999,9.82
95.4000,"","","",523.399,524.123,105.726,114.588,36.999,9.852
95.4333,"","","",522.817,523.49,111.764,122.782,36.999,9.879
95.4667,"","","",522.353,522.999,117.803,130.972,37,9.857
95.5000,"","","",521.993,522.438,123.779,139.11,37.001,9.836
95.5333,"","","",521.769,521.927,129.791,147.164,37.002,9.786
95.5667,"","","",521.539,521.288,135.447,155.608,37.002,9.789
95.6000,"","","",521.207,520.579,140.987,164.485,37,9.784
95.6333,"","","",520.814,520.13,146.542,173.053,36.998,9.835
95.6667,"","","",520.484,519.514,151.95,181.667,37,9.809
95.7000,"","","",520.207,518.969,157.125,190.566,37,9.813
95.7333,"","","",520.011,518.577,161.867,199.115,37,9.811
95.7667,"","","",519.735,518.004,166.467,207.465,36.999,9.822
95.8000,"","","",519.426,517.387,170.716,215.633,36.999,9.854
95.8333,"","","",519.186,516.769,174.662,223.622,36.999,9.859
95.8667,"","","",518.938,516.216,178.399,231.512,36.999,9.872
95.9000,"","","",518.461,515.734,182.099,239.091,37,9.881
95.9333,"","","",518.093,515.141,185.483,246.448,37,9.89
95.9667,"","","",517.881,514.636,188.135,253.518,37.001,9.863
96.0000,"","","",517.558,514.132,190.571,260.153,37.003,9.832
96.0333,"","","",517.162,513.537,192.887,266.56,37.001,9.841
96.0667,"","","",516.816,512.908,194.973,272.63,37.001,9.821
96.1000,"","","",516.49,512.452,196.667,278.303,37.002,9.777
96.1333,"","","",516.214,511.862,197.883,283.472,37,9.796
96.1667,"","","",515.779,511.184,199.079,287.898,36.999,9.84
96.2000,"","","",515.408,510.5,199.973,291.996,36.999,9.823
96.2333,"","","",515.001,509.991,200.571,295.486,37.001,9.802
96.2667,"","","",514.587,509.328,200.842,298.928,37,9.799
96.3000,"","","",514.265,508.841,200.494,301.435,37,9.808
96.3333,"","","",513.984,508.457,199.602,303.121,37.001,9.779
96.3667,"","","",513.604,508.063,198.448,303.938,37,9.776
96.4000,"","","",513.257,507.473,196.767,304.203,37.001,9.748
96.4333,"","","",512.925,506.973,194.458,303.409,36.999,9.799
96.4667,"","","",512.557,506.435,191.819,301.623,36.999,9.796
96.5000,"","","",512.21,505.859,188.774,298.986,37.001,9.766
96.5333,"","","",511.931,505.251,184.878,295.667,36.999,9.804
96.5667,"","","",511.511,504.669,180.48,291.622,36.998,9.812
96.6000,"","","",511.183,504.092,174.853,286.625,36.998,9.859
96.6333,"","","",510.712,503.702,170.698,280.164,36.998,9.859
96.6667,"","","",510.428,503.276,168.041,277.234,36.999,9.867
96.7000,"","","",510.121,502.715,167.061,275.947,37,9.851
96.7333,"","","",509.785,502.314,167.205,275.007,37.002,9.81
96.7667,"","","",509.42,501.746,167.858,274.278,37.002,9.816
96.8000,"","","",509.02,501.117,168.878,273.602,37.001,9.785
96.8333,"","","",508.614,500.592,170.084,272.914,37.001,9.771
96.8667,"","","",508.205,499.984,171.213,272.271,37,9.802
96.9000,"","","",507.781,499.24,172.285,272.16,37,9.792
96.9333,"","","",507.373,498.679,173.453,272.372,37,9.782
96.9667,"","","",507.044,498.213,174.681,272.244,37.001,9.757
97.0000,"","","",506.72,497.687,175.845,272.205,37,9.774
97.0333,"","","",506.324,497.167,176.975,272.12,37.001,9.746
97.0667,"","","",505.902,496.67,177.951,271.651,36.999,9.768
97.1000,"","","",505.569,496.201,178.744,271.087,37.001,9.74
97.1333,"","","",505.16,495.805,179.55,270.39,37,9.766
97.1667,"","","",504.811,495.395,180.117,269.606,36.998,9.783
97.2000,"","","",504.484,495.06,180.411,268.493,37,9.758
97.2333,"","","",504.205,494.377,180.778,267.57,37,9.748
97.2667,"","","",503.773,494.003,181.305,266.471,37,9.763
97.3000,"","","",503.337,493.6,181.694,265.096,36.999,9.79
97.3333,"","","",502.971,493.091,182.009,263.648,36.999,9.799
97.3667,"","","",502.577,492.494,182.439,262.464,37,9.784
97.4000,"","","",502.175,492.027,182.899,261.369,37.001,9.763
97.4333,"","","",501.76,491.461,183.374,260.227,36.999,9.789
97.4667,"","","",501.413,490.822,183.632,259.421,36.999,9.812
97.5000,"","","",500.99,490.341,184.112,258.823,36.999,9.85
97.5333,"","","",500.669,489.955,184.504,258.291,36.999,9.859
97.5667,"","","",500.354,489.444,184.872,257.746,37,9.843
97.6000,"","","",499.999,488.847,185.311,257.642,37.001,9.828
97.6333,"","","",499.727,488.276,185.501,257.596,37,9.812
97.6667,"","","",499.295,487.835,185.656,257.167,36.999,9.834
97.7000,"","","",498.861,487.412,185.958,256.335,37.001,9.809
97.7333,"","","",498.385,486.867,186.414,255.698,36.999,9.846
97.7667,"","","",498.057,486.187,186.715,255.332,37,9.814
97.8000,"","","",497.75,485.669,186.891,254.998,37.002,9.799
97.8333,"","","",497.471,485.161,186.855,254.754,37.001,9.79
97.8667,"","","",497.19,484.768,186.487,254.455,37.002,9.768
97.9000,"","","",496.839,484.215,186.185,254.367,37.001,9.745
97.9333,"","","",496.427,483.653,185.893,254.497,37.001,9.722
97.9667,"","","",496.075,483.233,185.766,254.229,37.001,9.715
98.0000,"","","",495.713,482.904,185.474,253.46,36.999,9.746
98.0333,"","","",495.301,482.434,185.146,252.718,36.999,9.758
98.0667,"","","",494.846,481.875,184.905,251.869,36.999,9.778
98.1000,"","","",494.457,481.394,184.677,251.074,37,9.769
98.1333,"","","",494.064,480.934,184.533,250.421,37,9.775
98.1667,"","","",493.62,480.275,184.579,250.09,36.999,9.806
98.2000,"","","",493.252,479.765,184.677,249.955,37,9.811
98.2333,"","","",492.938,479.274,184.763,250.252,37.001,9.769
98.2667,"","","",492.671,478.827,184.73,250.575,37.002,9.746
98.3000,"","","",492.215,478.273,184.785,250.944,37.001,9.746
98.3333,"","","",491.813,477.77,184.808,251.373,37.002,9.714
98.3667,"","","",491.414,477.327,184.924,251.745,37,9.74
98.4000,"","","",491.119,476.878,184.992,252.032,37,9.742
98.4333,"","","",490.631,476.402,185.206,252.237,36.999,9.77
98.4667,"","","",490.235,475.925,185.528,252.217,36.999,9.809
98.5000,"","","",489.903,475.549,185.73,251.808,37,9.799
98.5333,"","","",489.554,475.025,185.8,251.139,37,9.782
98.5667,"","","",489.169,474.465,185.712,250.93,37.002,9.735
98.6000,"","","",488.741,473.941,185.826,250.532,37.002,9.721
98.6333,"","","",488.403,473.55,185.987,249.74,37,9.736
98.6667,"","","",488.144,473.098,185.922,248.874,36.999,9.767
98.7000,"","","",487.851,472.621,185.764,248.153,37,9.753
98.7333,"","","",487.507,471.957,185.624,247.681,36.999,9.798
98.7667,"","","",487.052,471.555,185.741,247.149,36.999,9.813
98.8000,"","","",486.548,471.026,186.065,246.948,36.999,9.828
98.8333,"","","",486.066,470.653,186.691,246.496,37.001,9.781
98.8667,"","","",485.66,470.262,187.277,245.654,37.001,9.784
98.9000,"","","",485.336,469.756,187.653,244.873,37,9.794
98.9333,"","","",485.015,469.347,187.89,244.142,37,9.777
98.9667,"","","",484.628,468.913,187.951,243.473,36.999,9.809
99.0000,"","","",484.15,468.372,188.302,242.827,37,9.797
99.0333,"","","",483.754,467.79,188.79,242.233,37,9.78
99.0667,"","","",483.443,467.224,189.346,241.881,36.999,9.809
99.1000,"","","",483.055,466.687,189.841,241.976,36.999,9.833
99.1333,"","","",482.693,466.212,190.182,242.107,37,9.842
99.1667,"","","",482.345,465.711,190.285,242.307,36.998,9.875
99.2000,"","","",481.948,465.231,190.233,242.315,37,9.852
99.2333,"","","",481.561,464.879,190.134,242.198,37,9.859
99.2667,"","","",481.186,464.315,190.081,242.38,37.002,9.82
99.3000,"","","",480.846,463.911,189.898,242.295,37.003,9.788
99.3333,"","","",480.48,463.473,189.652,241.831,37.003,9.76
99.3667,"","","",480.085,462.976,189.491,241.357,37.002,9.77
99.4000,"","","",479.704,462.548,189.475,240.915,37.001,9.75
99.4333,"","","",479.248,461.981,189.62,240.623,37,9.773
99.4667,"","","",478.945,461.517,189.648,240.244,37,9.772
99.5000,"","","",478.602,461.125,189.74,240.027,37,9.756
99.5333,"","","",478.286,460.685,189.709,239.801,36.999,9.79
99.5667,"","","",477.94,460.289,189.51,239.452,36.999,9.795
99.6000,"","","",477.616,459.738,189.011,239.191,37,9.805
99.6333,"","","",477.182,459.252,188.772,239.093,36.999,9.817
99.6667,"","","",476.745,458.751,188.694,239.094,37,9.825
99.7000,"","","",476.415,458.271,188.574,239.039,36.998,9.856
99.7333,"","","",476.042,457.78,188.296,238.96,37,9.831
99.7667,"","","",475.6,457.239,188.349,238.994,36.998,9.885
99.8000,"","","",475.199,456.849,188.488,238.861,36.999,9.884
99.8333,"","","",474.831,456.473,188.528,238.348,37,9.861
99.8667,"","","",474.518,455.979,188.399,237.959,37,9.855
99.9000,"","","",474.097,455.588,188.37,237.574,37.001,9.845
99.9333,"","","",473.689,455.141,188.494,237.245,37.001,9.81
99.9667,"","","",473.327,454.676,188.52,236.753,37.001,9.808
100.0000,"","","",473.105,454.058,188.035,236.492,37.001,9.786
100.0333,"","","",472.632,453.595,187.57,236.207,37.002,9.759
100.0667,"","","",472.231,453.138,187.071,236.251,37.001,9.744
100.1000,"","","",471.842,452.739,186.726,236.034,37,9.737
100.1333,"","","",471.445,452.275,186.648,235.918,36.999,9.776
100.1667,"","","",471.12,451.798,186.675,235.632,36.999,9.782
100.2000,"","","",470.717,451.333,186.819,235.179,36.999,9.798
100.2333,"","","",470.333,450.818,186.888,234.866,37,9.816
100.2667,"","","",470.016,450.332,186.746,234.452,37,9.832
100.3000,"","","",469.628,449.909,186.649,233.863,37,9.823
100.3333,"","","",469.192,449.498,186.862,233.282,37,9.841
100.3667,"","","",468.943,448.969,186.89,233.02,36.999,9.862
100.4000,"","","",468.751,448.465,186.477,233.001,37.001,9.836
100.4333,"","","",468.269,448.028,186.315,233.055,37.002,9.81
100.4667,"","","",467.804,447.583,186.312,233.086,37.002,9.805
100.5000,"","","",467.4,447.096,186.321,233.224,37,9.81
100.5333,"","","",466.952,446.622,186.511,233.404,37.001,9.773
100.5667,"","","",466.551,446.157,186.771,233.369,37.001,9.774
100.6000,"","","",466.209,445.727,186.97,233.447,36.998,9.812
100.6333,"","","",465.788,445.337,187.188,233.272,36.999,9.817
100.6667,"","","",465.447,444.963,187.323,232.881,36.999,9.834
100.7000,"","","",465.157,444.356,187.336,232.819,37,9.813
100.7333,"","","",464.816,443.843,187.305,232.773,37,9.821
100.7667,"","","",464.465,443.412,187.396,232.851,37.001,9.791
100.8000,"","","",464.182,442.894,187.201,233.027,37,9.799
100.8333,"","","",463.895,442.37,186.806,233.168,37,9.802
100.8667,"","","",463.581,441.828,186.215,233.389,37,9.811
100.9000,"","","",463.27,441.352,185.477,233.472,37.001,9.768
100.9333,"","","",462.853,440.975,184.75,233.527,37.001,9.766
100.9667,"","","",462.401,440.572,184.299,233.494,37.002,9.742
101.0000,"","","",461.927,440.151,184.167,233.444,37.001,9.735
101.0333,"","","",461.458,439.694,184.141,233.405,37.001,9.719
101.0667,"","","",461.012,439.236,184.244,233.408,37,9.739
101.1000,"","","",460.745,438.683,184.275,233.723,37,9.749
101.1333,"","","",460.331,438.14,184.44,234.04,36.999,9.774
101.1667,"","","",460.794,437.68,183.071,234.165,36.999,9.809
101.2000,"CYTOC","Both","",459.415,437.277,183.512,234.217,36.999,9.815
101.2333,"","","",458.506,436.74,185.007,234.247,36.999,9.837
101.2667,"","","",458.06,436.284,186.639,234.202,37,9.838
101.3000,"","","",457.609,435.791,188.327,234.184,36.999,9.862
101.3333,"","","",457.277,435.211,189.575,234.645,37,9.869
101.3667,"","","",457.088,434.668,190.593,235.222,37,9.873
101.4000,"","","",456.826,434.165,191.404,235.823,37.001,9.856
101.4333,"","","",456.53,433.564,192.059,236.51,37,9.851
101.4667,"","","",456.15,433.089,192.736,237.16,37.002,9.798
101.5000,"","","",455.842,432.605,193.166,237.812,37.002,9.786
101.5333,"","","",455.408,432.183,193.732,238.328,37.002,9.759
101.5667,"","","",454.923,431.724,194.488,238.881,37.002,9.751
101.6000,"","","",454.558,431.226,195.076,239.487,36.999,9.785
101.6333,"","","",454.106,430.69,195.786,240.093,37,9.803
101.6667,"","","",453.715,430.144,196.595,240.686,37,9.809
101.7000,"","","",453.317,429.661,197.158,241.365,36.999,9.837
101.7333,"","","",452.887,429.187,197.411,242.069,37.001,9.8
101.7667,"","","",452.464,428.694,197.877,242.707,37.001,9.795
101.8000,"","","",452.023,428.245,198.56,243.208,37,9.81
101.8333,"","","",451.642,427.908,199.238,243.45,37,9.837
101.8667,"","","",451.334,427.555,199.861,243.446,37.002,9.785
101.9000,"","","",450.935,427.112,200.52,243.36,37.002,9.774
101.9333,"","","",450.524,426.588,201.125,243.273,37.001,9.768
101.9667,"","","",450.105,426.101,201.833,243.03,37.002,9.743
102.0000,"","","",449.713,425.613,202.444,242.595,36.999,9.785
102.0333,"","","",449.368,425.061,202.768,242.521,36.999,9.799
102.0667,"","","",449.056,424.505,202.837,242.641,37,9.805
102.1000,"","","",448.738,424.073,202.683,242.567,37,9.818
102.1333,"","","",448.522,423.647,201.995,242.454,37,9.804
102.1667,"","","",448.102,423.302,201.157,242.174,37.001,9.784
102.2000,"","","",447.608,422.98,200.346,241.738,37,9.781
102.2333,"","","",447.205,422.375,199.371,241.555,36.999,9.819
102.2667,"","","",446.813,421.893,198.409,241.197,36.998,9.828
102.3000,"","","",446.473,421.393,197.431,240.739,37,9.828
102.3333,"","","",446.129,421.021,196.502,239.975,36.999,9.856
102.3667,"","","",445.769,420.67,195.651,238.935,37,9.842
102.4000,"","","",445.391,420.141,194.878,237.96,37.003,9.799
102.4333,"","","",445.017,419.737,193.836,236.996,37.001,9.808
102.4667,"","","",444.702,419.364,192.69,235.98,37.002,9.77
102.5000,"","","",444.368,418.824,189.8,235.075,37.001,9.749
102.5333,"","","",444.039,418.297,188.624,234.141,37.001,9.739
102.5667,"","","",443.73,417.757,188.316,233.447,37.001,9.719
102.6000,"","","",443.409,417.268,188.067,232.743,37,9.743
102.6333,"","","",442.95,416.815,188.152,232.033,36.999,9.763
102.6667,"","","",442.527,416.325,188.274,231.554,37,9.766
102.7000,"","","",442.18,415.842,188.01,231.233,37,9.762
102.7333,"","","",441.842,415.349,187.471,231.014,36.999,9.794
102.7667,"","","",441.466,414.97,186.782,230.878,36.998,9.814
102.8000,"","","",440.949,414.704,186.358,230.398,36.998,9.826
102.8333,"","","",440.601,414.255,185.736,229.945,36.998,9.856
102.8667,"","","",440.216,413.727,185.223,229.548,36.998,9.889
102.9000,"","","",439.862,413.164,184.864,229.334,36.997,9.901
102.9333,"","","",439.483,412.669,184.489,229.24,36.999,9.899
102.9667,"","","",439.02,412.216,184.415,229.265,37,9.881
103.0000,"","","",438.646,411.786,184.362,229.394,37.002,9.84
103.0333,"","","",438.237,411.327,184.41,229.568,37.001,9.841
103.0667,"","","",437.852,410.877,184.574,229.758,37,9.833
103.1000,"","","",437.503,410.326,184.779,230.187,37.001,9.803
103.1333,"","","",437.189,409.946,185.004,230.451,37.002,9.777
103.1667,"","","",436.85,409.559,185.189,230.355,37.001,9.776
